doc_id,source_index,source_id,reference_normalized,n_chars,length_stratum
im91c1e5c7e3d29d,4324,,0,388,0
im10002918af5db8,23276,,1,851,6
im595adb9083b9dc,21707,,1,711,4
im52b06214f7ff7f,2045,,0,698,4
im581c27d9bd0c02,8043,,0,837,6
im71c82d2f8c8053,6409,,0,543,1
im21a0aaabd0f779,641,,0,550,1
im9dc1fdc404eb1a,4855,,0,497,1
imb3806826aa0b52,2669,,0,782,5
imf1b77ff1ef3f2a,13392,,1,1122,9
im4b4e6f45d3fc0e,16477,,1,1127,10
im3914f02eaeb32c,4135,,0,2611,15
im2c3d7bfeec50fb,187,,0,903,7
imb7c104314f13e6,14987,,1,666,3
im74bf97178245c8,14915,,1,884,7
im7dfba261f1bf17,5972,,0,1611,12
im36e9867eaf8620,16593,,1,1339,11
im96de0480b68a0f,10504,,0,671,3
im4b6f359fe05a9f,23451,,1,1412,11
im1f9ac436563d5f,14824,,1,1233,10
im20225ccc1a8a22,13108,,1,395,1
imc0d7ce985abfde,22492,,1,638,2
imb366eeffaaef71,17282,,1,1280,11
im8882d30551bf12,4270,,0,2567,15
ime510617204c398,15705,,1,903,7
im98686deb325ea2,13023,,1,632,2
im2dd5b03471186a,1354,,0,625,2
im9e06a3c86f6f77,15764,,1,1338,11
imaf62d00839ddaf,22286,,1,1953,14
imc1a5da0d100ff9,250,,0,799,6
imf501fcd3bb4c50,8974,,0,567,2
im9b0cfd836c42ac,7118,,0,809,6
im515e1504e968cc,8820,,0,1341,11
im82de7bbd698f58,1830,,0,739,5
im1456e4559812f6,23433,,1,836,6
imd42982dd169034,8029,,0,781,5
imec28cb61045d69,10196,,0,1835,13
imf3c11cab4e560b,15118,,1,627,2
im59a92038322f07,3560,,0,747,5
imfdb8511b64bc13,14867,,1,739,5
imd0ee6b0d9f24ae,24337,,1,286,0
im6efc08c0675702,21751,,1,683,3
im2791bbcd8cb362,17238,,1,1067,9
im2d5dde9e3cc870,1053,,0,301,0
im541d702272b293,20334,,1,995,8
im3d073259826075,6737,,0,286,0
im44d6394d45e392,9,,0,1265,11
im6679124e57dfbf,10426,,0,942,8
im3a4d1215a8fd3b,18142,,1,1069,9
im7ffe4c08d98df1,9790,,0,678,3
imf1d3421bfc230e,12328,,0,1078,9
imcf74ed1156a96e,11790,,0,638,2
im4f9abdcb7484ab,8046,,0,666,3
im337317caf76f93,2388,,0,1283,11
im07bca88f43c99f,10607,,0,673,3
im8c39397a06cae2,17448,,1,1567,12
im92b7263427cabc,19859,,1,1096,9
im7db3903e9fd577,24659,,1,1626,12
imf397f7c1d33fb8,15010,,1,805,6
im191d501ab11d3b,722,,0,832,6
im1e0625759eb527,22968,,1,1353,11
im75279b56b6197a,3346,,0,852,6
im52c901853411fc,10322,,0,2831,15
ima93d484074b59a,1855,,0,684,3
im3de5e922f345ab,13678,,1,2130,14
im30b413b95cfd5e,7996,,0,1298,11
imcd77d8bcbe0617,13402,,1,914,7
im647c5cdc253955,23333,,1,1000,8
imee95f22f7a612d,17702,,1,1123,10
im95938efcd322b3,13529,,1,457,1
imf9da27ceec0f9b,8022,,0,452,1
im359e51531a6723,18183,,1,847,6
imd8457cc92959ec,13835,,1,1052,9
imdf4982abc58aae,17819,,1,922,7
im9f4e6166a9de73,19198,,1,2019,14
imf631e7130ad8c9,273,,0,2408,15
im0c0915b91ce06c,16829,,1,1793,13
imc102cb410286dd,5538,,0,693,4
im79c8d48b9d9d2f,15360,,1,672,3
im28dcccaf243cb4,8182,,0,534,1
imbdd2af3edb0e80,20330,,1,383,0
im6108b9428035e5,7015,,0,539,1
ime3406e22cc17c2,17296,,1,2896,15
imcc7cdfad8c1e49,20870,,1,620,2
im9670f0e0c8e275,24897,,1,1667,13
im8fd47caca69e66,5068,,0,1309,11
im2c0b00df2408a9,6661,,0,1505,12
im80b0b9cdace769,7776,,0,1545,12
im205a9e1363e8f9,9298,,0,2267,14
im34f38e551b0ee0,12208,,0,1390,11
imc58577c78e1456,24119,,1,1485,12
imff195795f3d52d,15063,,1,288,0
ima768a332fa2668,15926,,1,960,8
imf1c1eff35b69cc,20614,,1,323,0
im4ad2cdedf619df,15722,,1,1270,11
im2757d1189ea95a,13160,,1,1453,12
im19a38e4dfebc4d,2398,,0,739,5
im12e9f9efd0ff66,9885,,0,612,2
imd7aa08a1294e35,10721,,0,1019,8
ima38e141d85d01b,7253,,0,1989,14
ime1a46b8a6b6d6d,4622,,0,1016,8
im20dd539ea8fe1d,3306,,0,717,4
imdf3e5df33c73be,22972,,1,770,5
im3f7ce9dc7cb876,14513,,1,1008,8
im463ef414ee1fc3,12345,,0,516,1
im428beb91ad5e25,14129,,1,1243,10
im5fd24213dbe581,19309,,1,1300,11
im8ca5c1b869ea81,6645,,0,2056,14
ime36a8340b55d94,20322,,1,830,6
im16f5012f84a4fa,2902,,0,1967,14
im048fca3fd82f86,10690,,0,686,3
im32cf5cdc8c6363,20578,,1,1404,11
im34f23463cb8691,13024,,1,689,4
im3ebffb11e85741,9272,,0,1837,13
im4c7cc06f2dbee4,1015,,0,1153,10
imd87ebc98c21437,14918,,1,268,0
im645fd7196a22b4,24452,,1,695,4
imac942a19c39973,7112,,0,626,2
im445fa78df3b8e4,23127,,1,748,5
im2e160e47742781,20314,,1,2593,15
im42437deb177d40,24861,,1,2498,15
imedfb7acedec3cb,17160,,1,971,8
imd6818f04b324ac,22939,,1,2472,15
im940ed42faf957b,20749,,1,855,7
im0a226438e7d087,3878,,0,1300,11
im45e20e26b9c526,1537,,0,634,2
im32688b8fefff80,4951,,0,1205,10
ima48e5284968516,6782,,0,638,2
imb8d26412bfd4da,600,,0,689,4
ima94474cdb34a74,3126,,0,864,7
imf14d71f7d18ce0,24573,,1,2465,15
im356778772bf96c,5543,,0,2497,15
imcd9524bbac1414,5800,,0,782,5
im71048015c749d7,3902,,0,565,2
im44e5ba00a8d46a,16843,,1,2102,14
imd14ef41341f94f,11605,,0,667,3
im93b9e718b95d3f,1943,,0,1810,13
im816d7761fd27cb,24114,,1,2472,15
im1c5593c7c8f891,15675,,1,783,5
im73bdccd404c2dd,10238,,0,754,5
imdef45f8c0bc4d2,12329,,0,830,6
imc2a8243be5141f,10957,,0,945,8
imb5f2bea8cdef93,16527,,1,1589,12
imed07b9a418029e,21609,,1,721,4
im3be40f5d04fe9e,22657,,1,564,2
imafb195fd967f6f,7486,,0,914,7
imf7a0bc7d761b2c,13237,,1,948,8
im4654f678730b1d,15041,,1,846,6
im0abe6f30320af9,15009,,1,621,2
im687225491b84e1,11458,,0,882,7
ima6cb1cacfe1941,9544,,0,731,4
im024f76cdf3ebb4,19537,,1,710,4
imfdf7a530401950,5265,,0,1174,10
imb234e4f51a4caf,16813,,1,754,5
im5613876941f6e3,14631,,1,995,8
im0d82490000bb68,24194,,1,277,0
im3e9d48a65ad077,19760,,1,295,0
im7d391fbc7f4235,19168,,1,752,5
im76f6a75ba6b278,12141,,0,1694,13
im3645322925fd6d,19835,,1,968,8
im056908d170c0df,20449,,1,638,2
imddf3eef9553560,3052,,0,1292,11
im2a957f6c8a0ffe,2407,,0,1285,11
im56f36d5817d8c8,21289,,1,256,0
im2e3f61bc829a71,3978,,0,819,6
im60da31a6b0c993,5952,,0,372,0
im18609e0a196abf,17233,,1,1077,9
im9f5efaffba73ea,8876,,0,1960,14
imc833a4ddb0e7e3,16431,,1,1186,10
imd4d4577d77edae,8249,,0,757,5
ima94254fbd34928,3998,,0,1788,13
imbd7e4f766185fc,24891,,1,420,1
im568553b2f11dea,9387,,0,1625,12
im35c6ca1d5cc78b,5761,,0,1005,8
im0fb117aba8cc5a,5114,,0,904,7
im9c035a3db4bbd8,7011,,0,1225,10
im1f5b932a140bdc,3154,,0,975,8
im6d3381d0adebc1,1237,,0,652,3
imf3d6b782e064f4,19851,,1,706,4
im327100114be9b5,19016,,1,867,7
im782e3381cc14ea,10500,,0,711,4
im3ba492c529c4d8,23995,,1,365,0
imfc8511faab785b,8964,,0,742,5
im537143a98a6c1a,6462,,0,327,0
im569556f74fd314,16469,,1,1009,8
ima208690fa6b3ec,728,,0,237,0
im8787318c28d1cc,9701,,0,1598,12
im840fb77089bbd7,20363,,1,1144,10
im4801896fb33977,9211,,0,1765,13
im3dee6dbe4ca38e,21486,,1,1033,9
im453514a8f84853,17847,,1,860,7
im2923311a10dfe3,19597,,1,968,8
im715c752bdf6bd1,9443,,0,1511,12
ime4003a06945777,13495,,1,646,3
ime86acb87161567,16720,,1,2545,15
im6468b334a02bc7,15310,,1,620,2
imbcce8d00e72e4e,7758,,0,1457,12
im4ef53880fec62e,9184,,0,648,3
imccab69411c78aa,8732,,0,1278,11
imc32c5ed973a886,8854,,0,1280,11
im7bd682bd107f5a,22066,,1,319,0
im493adf0d850c74,22120,,1,790,5
im6a559ef994ba06,18177,,1,1475,12
im18b093b3c15bbb,11001,,0,1720,13
im5f4650366efcdf,5923,,0,1947,14
im2a595477a345e0,1736,,0,1651,13
im46ca6c507b169e,2685,,0,838,6
im9f92353e3f9d06,23009,,1,796,6
ima69125c2cb72ed,11688,,0,905,7
ima193b53b22eb36,10477,,0,1416,11
imcf5aca15dec18e,4062,,0,903,7
ime2853110e1fca3,18430,,1,864,7
ime46ea314139720,13979,,1,1067,9
imc88f0855c92e58,9129,,0,519,1
im3808ec48ae8489,11130,,0,843,6
im02ac5ec5ed7e7f,5546,,0,1403,11
im14df1a60925ec8,13303,,1,1019,8
imb9eaea5f17b7ed,18398,,1,1088,9
im8883e6eeb1cd7f,4187,,0,1056,9
im96078446d5d830,18677,,1,576,2
im460397d9688dda,17518,,1,2091,14
imc357394ab8ff6f,19365,,1,1360,11
im938ea1ab5d7fd5,19190,,1,2879,15
im73edc55e77e527,24519,,1,890,7
im9b07098c6ece45,16246,,1,978,8
im726dce1d0be98d,15765,,1,647,3
im496905a3a1ec00,10757,,0,639,2
im5455b9f8b20d16,17126,,1,527,1
imd437301671f993,22708,,1,990,8
ima3604b8e86fb50,12024,,0,1814,13
im187f80e3062ff4,6511,,0,1683,13
im067a0574e67f12,8901,,0,1242,10
im942a0879776f67,827,,0,476,1
im3b6fe6a860cc2a,20803,,1,1400,11
im306ba60c6007f0,19195,,1,634,2
imb8088226f39abf,17747,,1,737,5
im744245abb8b1f7,3647,,0,1021,9
imd294fb3c41a370,6922,,0,2560,15
im39203d0dc65a4b,5176,,0,1661,13
im7bcd8e13d7b7eb,2080,,0,1559,12
im583f2b4f8b8818,14345,,1,839,6
im9a4bc4c26bc98a,2420,,0,2233,14
im817896cfcf11ee,15898,,1,579,2
im213cd73811d2f7,24923,,1,666,3
im81b980436df519,3404,,0,698,4
im98afce269167d9,16412,,1,644,2
im53ff9917cfbc3c,23122,,1,672,3
ime97fbaf9edc947,23449,,1,1279,11
im1f21bc6822eea8,24912,,1,377,0
im04f8d4b5e8d8fe,11517,,0,1790,13
ima3dfb4a5303498,14344,,1,1242,10
im1c7a0aa33a8125,11427,,0,824,6
imf2f4a48079ade9,14904,,1,1048,9
imf6ba6bf1c61856,22461,,1,446,1
im11779c058e4895,5381,,0,323,0
imd8ffe92c64cb91,18173,,1,1451,12
im0627fbb731d3a1,20985,,1,225,0
imff6628d90e1bda,19730,,1,1743,13
im70cd5c2bccaa75,7138,,0,1439,12
imfe881dfe1ba586,23945,,1,1699,13
im6b38aa16cd794f,2674,,0,651,3
imd614b5a81febaa,17321,,1,711,4
im5418981d170993,11394,,0,590,2
im5466a7250dfcc7,21147,,1,476,1
im5eb2da471bc026,14499,,1,2518,15
imc856cd41c370ff,16670,,1,1616,12
ima2dd3e7d33a183,4871,,0,465,1
imf69aff7ba7642b,2102,,0,1440,12
ima3595d618cac82,1556,,0,541,1
im0bc559977e9655,13774,,1,366,0
im64bc869577c397,12337,,0,655,3
imc7ddea3e3a4c3f,3732,,0,1104,9
imc50a090f8fbebe,8834,,0,1902,13
im0795fdc3d71bd0,20566,,1,881,7
im179831820798f0,10043,,0,1144,10
im9941b5528e55fb,19321,,1,454,1
im92ea90a092012e,4221,,0,1200,10
im224f8a06fbcf63,392,,0,644,2
im2024b2da078a6f,20711,,1,1388,11
im4b50dfcabfa837,23887,,1,1172,10
imf43141d9b19521,2321,,0,2113,14
imf59d78bce1e0da,22835,,1,669,3
im784dfcb36182fa,20317,,1,2601,15
imb626080dfece0c,21755,,1,749,5
im9d7ce619738784,1991,,0,705,4
im5cbe07b3844d38,22917,,1,967,8
imf270f2d3d9b27d,4858,,0,686,4
im393009e4888fb8,10826,,0,690,4
im8478cb29ad3d0c,6015,,0,1068,9
im02e26efb7bc767,13384,,1,1495,12
im4587a09f989876,16323,,1,932,7
ima4fc89b406e651,19125,,1,787,5
im9c18424b77894c,5524,,0,655,3
imb3a5012ac9cf43,10585,,0,290,0
imc4057f9a489b49,11876,,0,1347,11
imb38c6e45cb3817,10958,,0,692,4
imaee8f26ac88d6a,8502,,0,1801,13
im1f6649ab8e5fe3,24088,,1,633,2
im336f101ae30293,6423,,0,797,6
im9acc38c9b39f1a,11701,,0,2007,14
im94a05cdfe5c0d9,1284,,0,822,6
imaac323c708c8f8,7756,,0,1510,12
im956f327225d4bb,24581,,1,922,7
imecdd36fde21860,13338,,1,2215,14
imc903c576986668,13155,,1,1162,10
ima968493d2b91ea,7324,,0,2866,15
imddc85f5f476934,9940,,0,779,5
imc08f9a790385b4,16499,,1,412,1
im4c60c59d24e8c3,23710,,1,291,0
im273bb33b4a6a57,4579,,0,1292,11
im6bf9f92798484f,1396,,0,772,5
im65c8a4e68ad734,8326,,0,712,4
im1ee36e5e255e17,9292,,0,503,1
im121233b63b2625,22231,,1,1512,12
im7e232e72f5ba9d,4537,,0,1447,12
im69fb59e4ef5a12,3786,,0,805,6
imec1c3e4c57a17c,6321,,0,1847,13
im49cadb4643536b,14692,,1,389,1
im4e6cc06866a16e,12426,,0,2481,15
im5dd6323ce8516c,18245,,1,969,8
im4bcb7feb3e5b6f,16281,,1,622,2
im596e34aefe9fa5,11303,,0,762,5
imeb7676995fdaae,23958,,1,393,1
im44cf077a7d601a,12285,,0,1088,9
im7985c0ae4e2387,2012,,0,789,5
im679fde407b4980,23681,,1,1621,12
im431df1ec338a75,16055,,1,982,8
imc723883d64e61b,2901,,0,978,8
ima45f0db0a7fa64,10867,,0,777,5
imf11e823208dfbd,13092,,1,946,8
imdeae5765660c8c,20553,,1,1443,12
ima6c1d419dcc866,9647,,0,350,0
im387f90a99146cd,8662,,0,831,6
im71972b57dd4e73,8548,,0,1015,8
im03e361609765a0,10448,,0,1813,13
ime4a20704d7d6cb,21578,,1,1414,11
im6333de07c5d097,22845,,1,217,0
imf0c9e667a930fe,11461,,0,1913,13
imc399d425a0dbec,7805,,0,1154,10
im5d9d511e342966,24014,,1,508,1
im0c133922f83f79,1539,,0,1311,11
imdccbb9b816bab8,2659,,0,1874,13
imdfe343da1cbaa0,20064,,1,2064,14
im8f70f81750cbc0,17236,,1,1148,10
im7a81234e0b4611,9910,,0,731,4
imce666872db590c,5042,,0,2992,15
imcc9508f8bb0b3e,22194,,1,1079,9
ima16ed77353870e,24807,,1,384,0
imd63f497acff511,24942,,1,556,1
im3de1b60a139b10,5912,,0,858,7
im6f5e81ac1080e8,2292,,0,503,1
im8b322248af2e61,22212,,1,577,2
im16627bf0207c3a,7812,,0,1356,11
im04c2d78e90fdf7,23572,,1,1132,10
im77d13805b2fd66,11947,,0,2124,14
ime76cd7c7795690,24012,,1,1164,10
im65791c9a8e63c8,8586,,0,701,4
im743dbf8a203495,299,,0,1056,9
imfcf049fd8ffc11,16288,,1,931,7
im2768ff65513efd,24976,,1,830,6
im9260f7411edb41,19165,,1,268,0
im988654c4b6cf49,24613,,1,2174,14
im9f8dd09b4b8d8b,3188,,0,351,0
im84e67c8ae803cf,22821,,1,1359,11
im453f04948063be,5396,,0,1724,13
im87458ff412907a,17920,,1,1127,10
imf15ffc8eafc562,22287,,1,2275,14
im46b7789ec08702,20348,,1,1031,9
im3782c9db05031d,11136,,0,572,2
im67e9f3b560829a,4975,,0,912,7
imff671b6524e093,7036,,0,1141,10
im8d75da3c471a75,15333,,1,328,0
im0960c0c87154c6,16507,,1,1334,11
imf4dd53e20f178e,11839,,0,2897,15
im9448e9f7a4efbe,10567,,0,690,4
imf0185f4a1a2a9d,23756,,1,1241,10
im83b0261e9e5c8e,4671,,0,559,1
im1fd7fc6d319b8e,2779,,0,2565,15
imbb1f5b90bc3661,14191,,1,1183,10
im6c7949b28eb905,15580,,1,1245,10
imad5d31e331e545,7742,,0,717,4
im488a68e3421134,950,,0,839,6
im1728b84a788b5d,19082,,1,1618,12
im2d5bdb6607cddc,11466,,0,669,3
im231e9b9cd03ac6,20002,,1,492,1
im32db70ccf1048a,15991,,1,962,8
im8b7db071c9ec17,23668,,1,713,4
im31edd4c5f3c551,1882,,0,667,3
im5917850b20a201,10364,,0,704,4
im3168ea67bde3f9,7676,,0,638,2
im62b267c62fcf2d,21794,,1,2095,14
ime2b094760af850,8233,,0,2510,15
imdbdf35b9ffab00,3080,,0,1020,9
imd328036ebb31b0,1788,,0,785,5
im224c2483befd8a,22397,,1,592,2
imea367251b1afa1,12791,,1,1383,11
im04f80a60938a32,3183,,0,2525,15
ima86acd1b208621,5922,,0,618,2
imdf78a1b75bd546,21680,,1,1294,11
imbacb4dd8334997,23282,,1,679,3
imcbbf26732ce976,19497,,1,961,8
im891f4eed3c5132,22562,,1,1682,13
im89cfdc4ff5d76d,16841,,1,2589,15
im89c97a5c616bf9,24185,,1,2024,14
im876b3e28e1324f,6702,,0,1128,10
ima5eac520502071,18611,,1,864,7
im08a9d315f11132,4869,,0,1667,13
im1dc1152b2c8371,5790,,0,1829,13
imce992b7fe47c03,13517,,1,749,5
imf026558d0b633c,15889,,1,1188,10
imd03ebe4771b876,9887,,0,1939,14
ime73c99d7673496,2435,,0,922,7
im3d19954390a229,17881,,1,855,7
im92d3b9b4de6589,22223,,1,677,3
imc9c3265688718f,1769,,0,1294,11
imba8101666f8dfa,3735,,0,661,3
imc6c746b2efb16d,13674,,1,1800,13
im62d3008aa1071f,8466,,0,1800,13
im9b5e22f048378a,24774,,1,573,2
ime916cd65251354,18578,,1,1778,13
im6584f10d10b545,17862,,1,655,3
im3c5da8c8a991f5,10673,,0,2016,14
im293a99a47e3233,19436,,1,1725,13
imfd8f1016c4201c,3468,,0,932,7
im16dc4d58855aa2,24505,,1,690,4
im42338acf7ad52c,7825,,0,780,5
im88285d2c97b9dd,45,,0,786,5
im9319b42b02a03d,12579,,1,790,6
im4595d22ce8f241,11349,,0,1134,10
im4fe02e600a21fa,4697,,0,564,2
im4a31ddbc633dfa,23738,,1,555,1
imfec16252e6db21,2574,,0,735,5
imc4d4bed941709c,24443,,1,636,2
im5417fcc8c71560,2683,,0,742,5
imea3ebe6da41479,1745,,0,2645,15
im4d4d1fa20e3fc5,20340,,1,1443,12
im2ce8ced13d9610,17725,,1,832,6
imc2bfe4e9234118,10530,,0,1002,8
ima494d2d742bfe1,17562,,1,767,5
imf610ec21a62e7e,24495,,1,1120,9
im2c2412604f3d52,23355,,1,1242,10
im467d8c7ba62b86,2819,,0,1532,12
im8d8d6b37616006,23785,,1,1107,9
im12cae8d9bf165e,10485,,0,2146,14
im596fd7bab719d3,11479,,0,1216,10
ime0e2a64f4953ce,19624,,1,1068,9
im7ceb11d01e6271,22656,,1,1316,11
imc416bc35885f33,4920,,0,1375,11
ima6567b0d88addb,9252,,0,1324,11
im122961b35d66c8,15080,,1,1585,12
imfa335708eae539,8235,,0,689,4
im692456477ecd19,22282,,1,1902,13
ime9c7677860d548,24878,,1,2018,14
imb79155347bbdbe,1792,,0,1135,10
im947dd9567c5266,20556,,1,1021,9
im9fd9a5c3c69231,18413,,1,1041,9
imcbb76ead971ca7,0,,0,1640,13
im9c2b6de6ad4313,12213,,0,375,0
im4734ac7401dfc8,14506,,1,665,3
imc93088c0a82617,9359,,0,2842,15
imd99021ad9427d5,22703,,1,2911,15
im1f1d2c90f1ad19,3797,,0,727,4
im9fd5819ce97d66,17150,,1,1011,8
im2221eb02723a30,1114,,0,2206,14
ima0aeaabeb01dd4,22666,,1,2871,15
im7a72305651ec5e,10482,,0,1522,12
imf74d2ea8320bd0,5214,,0,159,0
imc76709669b1617,21306,,1,800,6
im94501903242139,3679,,0,518,1
im03ff66352d93c2,2599,,0,1576,12
im6feed7dbc9c481,21513,,1,736,5
im86e3c48b973650,9269,,0,2036,14
imb5c5588b5a8fc3,7848,,0,682,3
imf0e9dd267544c4,13894,,1,1195,10
imbecca7d927b95a,13901,,1,1363,11
im311b2f5d1dd463,7157,,0,2200,14
im00e03761f28207,18867,,1,270,0
im9a52ea049cf330,2194,,0,655,3
im8d9fa96f255811,20378,,1,790,5
imb191f158a2c68e,23456,,1,1247,10
ima411f417117496,14603,,1,686,3
im9b20af7e666777,3372,,0,970,8
imc2748155acb01c,1898,,0,650,3
im0c2901e64f7cb1,6125,,0,832,6
im4397216a1761f4,5101,,0,410,1
im485f670f1de827,18985,,1,677,3
im17304471c451c1,20025,,1,961,8
im1ecb4319cadf58,10508,,0,1027,9
imb1c0257cbecbc2,2677,,0,633,2
im9dc4e3371c23da,11981,,0,717,4
im0e74a292439c22,16386,,1,1460,12
ime0355bd5fd7ab5,5355,,0,294,0
im4330dc9c820218,21651,,1,1193,10
im63340e7a2247e5,15175,,1,729,4
imbaa8b4afcf077d,7578,,0,1066,9
imd2182a75e97e10,20948,,1,1327,11
imcd1b8aa3d309e8,13848,,1,2325,14
imb92e5df3ef509e,21043,,1,996,8
im4a0c37a06f262e,21241,,1,1127,10
imb59f61ee246e14,7116,,0,1368,11
im3a1db0c48a3dad,5209,,0,476,1
im6088b756501ee5,21772,,1,1343,11
imb442fdde72eb7c,19305,,1,825,6
im81f015e9328428,16218,,1,372,0
im3a43d2b913dd86,2625,,0,724,4
imded9e4167927f5,24860,,1,968,8
im292175c8ebe61e,11599,,0,2141,14
im0f236ba13ddc04,22572,,1,659,3
im8f97cebf623ffd,6213,,0,480,1
im5c764d0d612c69,22253,,1,1963,14
im0842f7f2d9bb66,24668,,1,274,0
imcabb1fdd3d0046,19003,,1,963,8
im5f0c17f35acfb7,10516,,0,1101,9
im2ba9bb377178b2,20113,,1,1019,8
im929eb7542db568,11070,,0,1052,9
imea1adbfb78fd1d,15332,,1,646,3
im1e7583d7030df0,6370,,0,880,7
imd60ff83f7eee34,17225,,1,340,0
im46652451ecc670,17333,,1,2142,14
imb5564a6bab1c2a,20697,,1,811,6
im8ec6bd29cd8a97,17806,,1,2355,15
im8cbd66b394034c,10542,,0,827,6
im250f30494ac5bc,4606,,0,1560,12
im816cc6858339af,6316,,0,762,5
ime7e3ef142efd5f,1955,,0,1897,13
imda0f62514e280f,2664,,0,685,3
im5fd83bab3a2ac7,12584,,1,344,0
im6a6ca32f108e08,7817,,0,953,8
im8c73d99e0f1043,3303,,0,640,2
imdb45f6cde9b502,13242,,1,1512,12
im49443a20fde59f,2653,,0,792,6
im8e8b10445bfc64,937,,0,848,6
im90cb3105358afb,3754,,0,1514,12
ime650d1407c9697,20165,,1,2487,15
im5305228c274d2c,11905,,0,2890,15
im3c2d856009a61a,17230,,1,609,2
imd5eebd34f4e913,7622,,0,1295,11
im7820c72d01bd4e,15731,,1,598,2
im24f49adf1f655e,24134,,1,1408,11
im73a0c28a80e990,4201,,0,703,4
imddc103a2fdf369,1751,,0,806,6
im55db65e98be097,11368,,0,1966,14
im2e10004ca5241a,15218,,1,761,5
im2d18e1ab5d6e04,3602,,0,647,3
imef489df294724c,4586,,0,663,3
imc5fb333cb73fe0,13220,,1,337,0
im2c38e499ce56ec,17635,,1,1258,11
im3712cc6e9893a8,1200,,0,2032,14
im4682beb6741feb,14917,,1,1319,11
ime49c467e5207cf,10650,,0,832,6
imebe19369f89f77,2263,,0,1164,10
imccc934e0dbc6ec,24344,,1,850,6
imf06ae41de4eaa9,19462,,1,890,7
im0ba1cc372eac88,24711,,1,1196,10
im087fba4a36e127,24274,,1,346,0
im112135f950d09e,17642,,1,1548,12
imf42742c7a99890,10438,,0,965,8
im7bd0f3759691fa,18740,,1,931,7
im96452cb2d72a43,11995,,0,2224,14
im211ebf5f8f6e59,6247,,0,662,3
im8f57d38d79f8fb,24813,,1,1033,9
imb45cb17a683afe,22466,,1,1349,11
imc20efb8f1e032e,15968,,1,719,4
im50c3eed8854abf,4733,,0,780,5
ime4077217a493a2,13804,,1,2621,15
im4565aecc5542d4,11539,,0,1429,12
im7122dc6fd93fee,23391,,1,1008,8
imf64fb864096696,6398,,0,690,4
im91acf1dc9b237f,11921,,0,942,8
imd6a7f1f18d180c,14102,,1,464,1
im1da2cf3d4ef36a,3800,,0,730,4
im8aa6e22d72aa60,20515,,1,1850,13
im5b2fe75e3153a2,16167,,1,746,5
imbcc6e43b594627,1717,,0,1383,11
imf7ac429d0ce07f,9288,,0,981,8
im7b1e40e1694689,11056,,0,841,6
imdd7064efafd37d,19172,,1,2087,14
im7fce92c054d451,7741,,0,2095,14
imc8157e36df821a,2534,,0,854,7
ima5b5339dfff363,14321,,1,1024,9
imea662c41df7fe7,4852,,0,714,4
im19beb373af6ef9,1876,,0,747,5
im6c239b3273740b,8366,,0,970,8
im2a20be3804d6be,15747,,1,1037,9
imb2261f8ab6d521,6031,,0,590,2
imfa3c612b42097d,11365,,0,807,6
imc9b8f0bc1f8ba8,2994,,0,2611,15
im77e0b658c8b786,23065,,1,1425,11
imb40ad98c1e237d,23033,,1,2820,15
im1185919cf403ce,12481,,0,846,6
im55e30c41127810,3900,,0,879,7
im9ce1c350c9aa74,19774,,1,633,2
imf05da65e1b8a51,12966,,1,533,1
